Price,Ticker,PredictedSignal
Ticker,,
0,MSFT,0
1,NVDA,0
2,TSLA,0
3,NVDA,1
4,TSLA,0
5,GOOGL,0
6,AAPL,1
7,MSFT,1
8,AAPL,1
9,MSFT,1
10,GOOGL,1
11,TSLA,0
12,NVDA,1
13,NVDA,1
14,MSFT,1
15,GOOGL,1
16,AAPL,1
17,TSLA,1
18,TSLA,0
19,NVDA,1
20,GOOGL,1
21,AAPL,0
22,MSFT,1
23,AAPL,1
24,MSFT,1
25,GOOGL,1
26,NVDA,1
27,TSLA,1
28,MSFT,0
29,TSLA,0
30,AAPL,1
31,GOOGL,1
32,NVDA,0
33,MSFT,0
34,GOOGL,1
35,TSLA,0
36,AAPL,1
37,NVDA,0
38,GOOGL,1
39,TSLA,1
40,NVDA,1
41,MSFT,0
42,AAPL,1
43,NVDA,1
44,MSFT,1
45,GOOGL,1
46,TSLA,0
47,AAPL,1
48,AAPL,1
49,NVDA,0
50,MSFT,1
51,GOOGL,1
52,TSLA,1
53,AAPL,1
54,GOOGL,1
55,MSFT,1
56,TSLA,1
57,NVDA,0
58,GOOGL,1
59,TSLA,1
60,NVDA,1
61,MSFT,1
62,AAPL,0
63,AAPL,0
64,TSLA,0
65,NVDA,1
66,MSFT,0
67,GOOGL,0
68,AAPL,0
69,TSLA,0
70,MSFT,0
71,GOOGL,0
72,NVDA,1
73,AAPL,0
74,MSFT,0
75,GOOGL,1
76,NVDA,0
77,TSLA,0
78,MSFT,0
79,GOOGL,1
80,TSLA,0
81,NVDA,0
82,AAPL,0
83,MSFT,0
84,NVDA,0
85,TSLA,0
86,AAPL,0
87,GOOGL,0
88,AAPL,0
89,TSLA,0
90,MSFT,1
91,GOOGL,0
92,NVDA,0
93,MSFT,1
94,GOOGL,0
95,AAPL,0
96,NVDA,0
97,TSLA,1
98,AAPL,1
99,GOOGL,1
100,NVDA,1
101,TSLA,1
102,MSFT,1
103,AAPL,1
104,NVDA,1
105,TSLA,1
106,GOOGL,1
107,MSFT,1
108,GOOGL,1
109,NVDA,1
110,TSLA,1
111,MSFT,1
112,AAPL,1
113,TSLA,0
114,GOOGL,1
115,NVDA,0
116,AAPL,1
117,MSFT,1
118,GOOGL,1
119,MSFT,1
120,NVDA,1
121,AAPL,1
122,TSLA,0
123,AAPL,0
124,GOOGL,0
125,NVDA,0
126,TSLA,1
127,MSFT,0
128,TSLA,1
129,AAPL,1
130,GOOGL,0
131,MSFT,0
132,NVDA,1
133,GOOGL,0
134,TSLA,1
135,AAPL,0
136,MSFT,1
137,NVDA,1
138,AAPL,0
139,NVDA,1
140,MSFT,1
141,TSLA,1
142,GOOGL,1
143,NVDA,1
144,AAPL,0
